Inspector,Model,SerialNo,Start Date,End Date,Module ID,Ref. ID,Window ID,DefectType,PartName,Lot ID,source_file,Start Date_dt,End Date_dt
MV-6E,EOS_T001-TOP,94,2025-10-20 11:58,2025-10-20 11:58,0,D6,0,Missing,CL-BIT2012UYG,,00000094_8.txt,2025-10-20 11:58,2025-10-20 11:58
MV-6E,EOS_T001-TOP,94,2025-10-20 11:58,2025-10-20 11:58,2,D6,0,Missing,CL-BIT2012UYG,,00000094_8.txt,2025-10-20 11:58,2025-10-20 11:58
MV-6E,EOS_T001-TOP,94,2025-10-20 11:58,2025-10-20 11:58,3,D6,0,Missing,CL-BIT2012UYG,,00000094_8.txt,2025-10-20 11:58,2025-10-20 11:58
MV-6E,EOS_T001-TOP,95,2025-10-20 11:59,2025-10-20 11:59,2,D6,0,Missing,CL-BIT2012UYG,,00000095_8.txt,2025-10-20 11:59,2025-10-20 11:59
MV-6E,EOS_T001-TOP,100,2025-10-20 12:01,2025-10-20 12:01,0,D6,0,Missing,CL-BIT2012UYG,,00000100_7.txt,2025-10-20 12:01,2025-10-20 12:01
MV-6E,EOS_T001-TOP,100,2025-10-20 12:01,2025-10-20 12:01,2,D6,0,Missing,CL-BIT2012UYG,,00000100_7.txt,2025-10-20 12:01,2025-10-20 12:01
MV-6E,EOS_T001-TOP,108,2025-10-20 12:04,2025-10-20 12:04,3,D6,0,Missing,CL-BIT2012UYG,,00000108_8.txt,2025-10-20 12:04,2025-10-20 12:04
MV-6E,EOS_T001-TOP,128,2025-10-20 12:13,2025-10-20 12:13,3,D6,0,Missing,CL-BIT2012UYG,,00000128_8.txt,2025-10-20 12:13,2025-10-20 12:13
MV-6E,EOS_T001-TOP,129,2025-10-20 12:14,2025-10-20 12:14,2,D6,0,Missing,CL-BIT2012UYG,,00000129_8.txt,2025-10-20 12:14,2025-10-20 12:14
MV-6E,EOS_T001-TOP,130,2025-10-20 12:14,2025-10-20 12:14,3,D6,0,Missing,CL-BIT2012UYG,,00000130_8.txt,2025-10-20 12:14,2025-10-20 12:14
MV-6E,EOS_T001-TOP,135,2025-10-20 12:16,2025-10-20 12:16,1,D6,0,Missing,CL-BIT2012UYG,,00000135_7.txt,2025-10-20 12:16,2025-10-20 12:16
MV-6E,EOS_T001-TOP,140,2025-10-20 12:19,2025-10-20 12:19,2,D6,0,Missing,CL-BIT2012UYG,,00000140_7.txt,2025-10-20 12:19,2025-10-20 12:19
MV-6E,EOS_T001-TOP,142,2025-10-20 12:20,2025-10-20 12:20,1,D6,0,Missing,CL-BIT2012UYG,,00000142_7.txt,2025-10-20 12:20,2025-10-20 12:20
MV-6E,EOS_T001-TOP,160,2025-10-20 12:28,2025-10-20 12:28,0,D6,0,Missing,CL-BIT2012UYG,,00000160_6.txt,2025-10-20 12:28,2025-10-20 12:28
MV-6E,EOS_T001-TOP,167,2025-10-20 12:31,2025-10-20 12:31,2,D6,0,Missing,CL-BIT2012UYG,,00000167_6.txt,2025-10-20 12:31,2025-10-20 12:31
MV-6E,EOS_T001-TOP,174,2025-10-20 12:34,2025-10-20 12:34,1,D6,0,Missing,CL-BIT2012UYG,,00000174_6.txt,2025-10-20 12:34,2025-10-20 12:34
MV-6E,EOS_T001-TOP,186,2025-10-20 12:39,2025-10-20 12:39,2,D6,0,Missing,CL-BIT2012UYG,,00000186_6.txt,2025-10-20 12:39,2025-10-20 12:39
MV-6E,EOS_T001-TOP,196,2025-10-20 12:44,2025-10-20 12:44,3,D6,0,Missing,CL-BIT2012UYG,,00000196_6.txt,2025-10-20 12:44,2025-10-20 12:44
MV-6E,EOS_T001-TOP,201,2025-10-20 12:46,2025-10-20 12:46,1,D6,0,Missing,CL-BIT2012UYG,,00000201_6.txt,2025-10-20 12:46,2025-10-20 12:46
MV-6E,EOS_T001-TOP,201,2025-10-20 12:46,2025-10-20 12:46,2,D6,0,Missing,CL-BIT2012UYG,,00000201_6.txt,2025-10-20 12:46,2025-10-20 12:46
MV-6E,EOS_T001-TOP,206,2025-10-20 12:48,2025-10-20 12:48,2,D6,0,Missing,CL-BIT2012UYG,,00000206_6.txt,2025-10-20 12:48,2025-10-20 12:48
MV-6E,EOS_T001-TOP,223,2025-10-20 12:56,2025-10-20 12:56,2,D6,0,Missing,CL-BIT2012UYG,,00000223_5.txt,2025-10-20 12:56,2025-10-20 12:56
MV-6E,EOS_T001-TOP,226,2025-10-20 12:57,2025-10-20 12:57,1,D6,0,Missing,CL-BIT2012UYG,,00000226_5.txt,2025-10-20 12:57,2025-10-20 12:57
MV-6E,EOS_T001-BOT,5,2025-10-20 15:12,2025-10-20 15:12,0,U1,3,Bridge,MC96F6432AQBN,,00000005_10.txt,2025-10-20 15:12,2025-10-20 15:12
MV-6E,EOS_T001-BOT,42,2025-10-20 15:53,2025-10-20 15:53,3,IC2,0,Missing,LM78L05F,,00000042_10.txt,2025-10-20 15:53,2025-10-20 15:53
MV-6E,EOS_T001-BOT,58,2025-10-20 16:03,2025-10-20 16:03,0,Q3,0,Rotate,KTC3876S,,00000058_10.txt,2025-10-20 16:03,2025-10-20 16:03
MV-6E,EOS_T001-BOT,83,2025-10-20 16:18,2025-10-20 16:18,3,Q1,0,Shift,KTC3876S,,00000083_9.txt,2025-10-20 16:18,2025-10-20 16:18
MV-6E,EOS_T001-BOT,84,2025-10-20 16:19,2025-10-20 16:19,3,Q1,0,Shift,KTC3876S,,00000084_9.txt,2025-10-20 16:19,2025-10-20 16:19
MV-6E,EOS_T001-BOT,99,2025-10-20 16:28,2025-10-20 16:28,2,Q2,0,Shift,KTC3876S,,00000099_9.txt,2025-10-20 16:28,2025-10-20 16:28
MV-6E,EOS_T001-BOT,101,2025-10-20 16:29,2025-10-20 16:29,3,Q2,0,Shift,KTC3876S,,00000101_8.txt,2025-10-20 16:29,2025-10-20 16:29
MV-6E,EOS_T001-BOT,109,2025-10-20 16:34,2025-10-20 16:34,1,Q2,0,Shift,KTC3876S,,00000109_9.txt,2025-10-20 16:34,2025-10-20 16:34
MV-6E,EOS_T001-BOT,112,2025-10-20 16:36,2025-10-20 16:36,1,R13,3,WrongPart,WR08X561JTL,,00000112_9.txt,2025-10-20 16:36,2025-10-20 16:36
MV-6E,EOS_T001-BOT,112,2025-10-20 16:36,2025-10-20 16:36,3,R21,3,WrongPart,WR08X561JTL,,00000112_9.txt,2025-10-20 16:36,2025-10-20 16:36
MV-6E,EOS_T001-BOT,113,2025-10-20 16:36,2025-10-20 16:36,1,R14,3,WrongPart,WR08X561JTL,,00000113_9.txt,2025-10-20 16:36,2025-10-20 16:36
MV-6E,EOS_T001-BOT,113,2025-10-20 16:36,2025-10-20 16:36,1,R17,3,WrongPart,WR08X561JTL,,00000113_9.txt,2025-10-20 16:36,2025-10-20 16:36
MV-6E,EOS_T001-BOT,113,2025-10-20 16:36,2025-10-20 16:36,2,R21,3,WrongPart,WR08X561JTL,,00000113_9.txt,2025-10-20 16:36,2025-10-20 16:36
MV-6E,EOS_T001-BOT,128,2025-10-20 16:45,2025-10-20 16:45,0,U1,3,Bridge,MC96F6432AQBN,,00000128_9.txt,2025-10-20 16:45,2025-10-20 16:45
MV-6E,EOS_T001-BOT,133,2025-10-20 16:49,2025-10-20 16:49,3,R20,0,Missing,WR08X561JTL,,00000133_8.txt,2025-10-20 16:49,2025-10-20 16:49
MV-6E,EOS_T001-BOT,137,2025-10-20 16:51,2025-10-20 16:51,0,R21,0,Missing,WR08X561JTL,,00000137_8.txt,2025-10-20 16:51,2025-10-20 16:51
MV-6E,EOS_T001-BOT,137,2025-10-20 16:51,2025-10-20 16:51,0,Q3,2,InsufficientSolder,KTC3876S,,00000137_8.txt,2025-10-20 16:51,2025-10-20 16:51
MV-6E,EOS_T001-BOT,143,2025-10-20 16:55,2025-10-20 16:55,0,Q2,0,Shift,KTC3876S,,00000143_8.txt,2025-10-20 16:55,2025-10-20 16:55
MV-6E,EOS_T001-BOT,145,2025-10-20 16:56,2025-10-20 16:56,2,Q2,0,Shift,KTC3876S,,00000145_8.txt,2025-10-20 16:56,2025-10-20 16:56
MV-6E,EOS_T001-BOT,149,2025-10-20 16:58,2025-10-20 16:58,2,Q1,0,Rotate,KTC3876S,,00000149_8.txt,2025-10-20 16:58,2025-10-20 16:58
MV-6E,EOS_T001-BOT,152,2025-10-20 17:00,2025-10-20 17:00,3,R14,0,Missing,WR08X561JTL,,00000152_8.txt,2025-10-20 17:00,2025-10-20 17:00
MV-6E,EOS_T001-BOT,152,2025-10-20 17:00,2025-10-20 17:00,3,C3,0,Shift,0805B104K500CT,,00000152_8.txt,2025-10-20 17:00,2025-10-20 17:00
MV-6E,EOS_T001-BOT,152,2025-10-20 17:00,2025-10-20 17:00,3,C6,0,Shift,0805B102K500CT,,00000152_8.txt,2025-10-20 17:00,2025-10-20 17:00
