model,serial_no,image_name,image_type,image_path,image_ext,file_size,file_mtime
EOS_T001-TOP,3,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000003\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,5,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000005\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,8,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000008\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,19,G1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000019\G1_D6.jpg,.jpg,2570,2025-10-20 10:36
EOS_T001-TOP,20,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000020\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,27,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000027\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,36,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000036\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,42,G1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000042\G1_D6.jpg,.jpg,2570,2025-10-20 10:36
EOS_T001-TOP,46,G0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000046\G0_D6.jpg,.jpg,2494,2025-10-20 10:36
EOS_T001-TOP,46,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000046\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,56,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000056\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,56,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000056\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,60,G0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000060\G0_D6.jpg,.jpg,2494,2025-10-20 10:36
EOS_T001-TOP,65,G0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000065\G0_D6.jpg,.jpg,2494,2025-10-20 10:36
EOS_T001-TOP,68,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000068\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,73,G0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000073\G0_D6.jpg,.jpg,2494,2025-10-20 10:36
EOS_T001-TOP,73,G1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000073\G1_D6.jpg,.jpg,2570,2025-10-20 10:36
EOS_T001-TOP,74,G0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000074\G0_D6.jpg,.jpg,2494,2025-10-20 10:36
EOS_T001-TOP,75,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000075\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,76,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000076\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,77,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000077\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,80,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000080\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,94,G0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000094\G0_D6.jpg,.jpg,2494,2025-10-20 10:36
EOS_T001-TOP,94,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000094\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,94,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000094\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,95,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000095\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,100,G0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000100\G0_D6.jpg,.jpg,2494,2025-10-20 10:36
EOS_T001-TOP,100,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000100\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,108,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000108\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,128,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000128\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,129,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000129\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,130,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000130\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,135,G1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000135\G1_D6.jpg,.jpg,2570,2025-10-20 10:36
EOS_T001-TOP,140,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000140\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,142,G1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000142\G1_D6.jpg,.jpg,2570,2025-10-20 10:36
EOS_T001-TOP,160,G0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000160\G0_D6.jpg,.jpg,2494,2025-10-20 10:36
EOS_T001-TOP,167,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000167\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,174,G1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000174\G1_D6.jpg,.jpg,2570,2025-10-20 10:36
EOS_T001-TOP,186,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000186\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,196,G3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000196\G3_D6.jpg,.jpg,2564,2025-10-20 10:36
EOS_T001-TOP,201,G1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000201\G1_D6.jpg,.jpg,2570,2025-10-20 10:36
EOS_T001-TOP,201,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000201\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,206,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000206\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,223,G2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000223\G2_D6.jpg,.jpg,2614,2025-10-20 10:36
EOS_T001-TOP,226,G1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000226\G1_D6.jpg,.jpg,2570,2025-10-20 10:36
EOS_T001-TOP,3,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000003\D2_D6.jpg,.jpg,2623,2025-10-20 10:36
EOS_T001-TOP,5,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000005\D2_D6.jpg,.jpg,2598,2025-10-20 10:38
EOS_T001-TOP,8,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000008\D2_D6.jpg,.jpg,2590,2025-10-20 10:46
EOS_T001-TOP,16,BRDFID_0.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000016\BRDFID_0.jpg,.jpg,986008,2025-10-20 10:49
EOS_T001-TOP,19,D1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000019\D1_D6.jpg,.jpg,2585,2025-10-20 10:51
EOS_T001-TOP,20,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000020\D2_D6.jpg,.jpg,2574,2025-10-20 10:51
EOS_T001-TOP,27,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000027\D2_D6.jpg,.jpg,2518,2025-10-20 10:54
EOS_T001-TOP,36,D3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000036\D3_D6.jpg,.jpg,2359,2025-10-20 10:57
EOS_T001-TOP,42,D1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000042\D1_D6.jpg,.jpg,2436,2025-10-20 10:59
EOS_T001-TOP,46,D0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000046\D0_D6.jpg,.jpg,2416,2025-10-20 11:01
EOS_T001-TOP,46,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000046\D2_D6.jpg,.jpg,2258,2025-10-20 11:01
EOS_T001-TOP,48,BRDFID_1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000048\BRDFID_1.jpg,.jpg,1115735,2025-10-20 11:02
EOS_T001-TOP,56,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000056\D2_D6.jpg,.jpg,2288,2025-10-20 11:06
EOS_T001-TOP,56,D3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000056\D3_D6.jpg,.jpg,2267,2025-10-20 11:06
EOS_T001-TOP,60,D0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000060\D0_D6.jpg,.jpg,2392,2025-10-20 11:07
EOS_T001-TOP,65,D0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000065\D0_D6.jpg,.jpg,2288,2025-10-20 11:10
