KO,발생시간,기판명,기판 코멘트,에러/작업번호,내용,상세,작업자,생산품종,면 정보,생산로트,source_file
KO,2025-10-16 10:23:03,SH-NEW_DELIM4,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SH-NEW_DELIM4_0_20251016.csv
KO,2025-10-17 10:06:19,SH-NEW_DELIM4,,Ea12388,장비의 전원OFF 완료,,관리자,,,,ErrLog_SH-NEW_DELIM4_0_20251017.csv
KO,2025-10-20 10:09:38,,,Ea12387,장비의 전원ON 완료,OmAuto Address=baef9c00,디폴트 작업자,,,,ErrLog__0_20251020.csv
KO,2025-10-20 11:14:12,KMJ-EOS_T001-TOP,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_KMJ-EOS_T001-TOP_0_20251020.csv
KO,2025-10-20 11:14:17,KMJ-EOS_T001-TOP,,Ea30122,피더피치 미설정,/TableA/F25/FdrID=SSY-008-0452514B,관리자,,,,ErrLog_KMJ-EOS_T001-TOP_0_20251020.csv
KO,2025-10-20 11:20:44,KMJ-EOS_T001-TOP,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_KMJ-EOS_T001-TOP_0_20251020.csv
KO,2025-10-20 14:23:32,KMJ-EOS_T001-TOP,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_KMJ-EOS_T001-TOP_225_20251020.csv
KO,2025-10-20 14:38:03,KMJ-EOS_T001-BOT,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_KMJ-EOS_T001-BOT_0_20251020.csv
KO,2025-10-20 15:04:35,KMJ-EOS_T001-BOT,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_KMJ-EOS_T001-BOT_1_20251020.csv
KO,2025-10-20 18:30:54,KMJ-EOS_T001-BOT,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_KMJ-EOS_T001-BOT_175_20251020.csv
KO,2025-10-21 10:23:22,KMJ-EOS_T001-BOT,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_KMJ-EOS_T001-BOT_225_20251021.csv
KO,2025-10-21 14:44:24,SH-WATERSENSER_1VS1_NEW_251021,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_NEW_251021_0_20251021.csv
KO,2025-10-21 17:09:48,SH-WATERSENSER_1VS1_NEW_251021,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_NEW_251021_0_20251021.csv
KO,2025-10-21 17:29:58,SH-WATERSENSER_1VS1_NEW_251021,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_NEW_251021_0_20251021.csv
KO,2025-10-21 17:36:21,SH-WATERSENSER_1VS1_NEW_251021,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_NEW_251021_0_20251021.csv
KO,2025-10-22 10:32:53,SH-WATERSENSER_1VS1_NEW_251021,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SH-WATERSENSER_1VS1_NEW_251021_116_20251022.csv
KO,2025-10-23 13:16:14,SEIL-IDS_9100_MAIN_TOP-250627,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_TOP-250627_0_20251023.csv
KO,2025-10-23 16:38:03,SEIL-IDS_9100_MAIN_TOP-250627,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_TOP-250627_0_20251023.csv
KO,2025-10-24 12:08:03,SH-NEW_DELIM4,,Ea12388,장비의 전원OFF 완료,,관리자,,,,ErrLog_SH-NEW_DELIM4_0_20251024.csv
KO,2025-10-27 10:24:47,,,Ea12387,장비의 전원ON 완료,OmAuto Address=baeedc00,디폴트 작업자,,,,ErrLog__0_20251027.csv
KO,2025-10-27 12:46:45,PASS,,Ea79,기판반송 에러,/EX1:9/EX2:1,관리자,,,,ErrLog_PASS_19_20251027.csv
KO,2025-10-27 14:28:05,PASS,,Ea79,기판반송 에러,/EX1:9/EX2:1,관리자,,,,ErrLog_PASS_21_20251027.csv
KO,2025-10-27 14:37:38,PASS,,Ea2204,기판반송 에러 [반입처리 시간초과],/EX1:5/EX2:1,관리자,,,,ErrLog_PASS_23_20251027.csv
KO,2025-10-27 16:00:04,SEIL-IDS_9100_MAIN_TOP-250627,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_TOP-250627_0_20251027.csv
KO,2025-10-27 16:23:59,SEIL-IDS_9100_MAIN_TOP-250627,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_TOP-250627_0_20251027.csv
KO,2025-10-27 16:59:44,SEIL-IDS_9100_MAIN_TOP-250627,,Ea7,리드검출 에러,/TableA/M9/H7/C6/F30/VE154/FdrID=SSY-008-0452521B,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_TOP-250627_7_20251027.csv
KO,2025-10-28 10:30:29,SEIL-IDS_9100_MAIN_TOP-250627,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_TOP-250627_100_20251028.csv
KO,2025-10-28 11:36:01,SEIL-IDS_9100_MAIN_TOP-250627,,Ea31,부품흡착 에러,/TableA/M20/H2/C10/F32/VE150/FdrID=SSY-008-0452626B,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_TOP-250627_162_20251028.csv
KO,2025-10-28 12:03:02,SEIL-IDS_9100_MAIN_TOP-250627,,Ea31,부품흡착 에러,/TableA/M20/H2/C10/F32/VE150/FdrID=SSY-008-0452626B,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_TOP-250627_206_20251028.csv
KO,2025-10-28 13:48:48,SEIL-IDS_9100_MAIN_BOT-250627,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_BOT-250627_0_20251028.csv
KO,2025-10-28 14:15:03,SEIL-IDS_9100_MAIN_BOT-250627,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_BOT-250627_0_20251028.csv
KO,2025-10-28 15:39:21,SEIL-IDS_9100_MAIN_BOT-250627,,Ea31,부품흡착 에러,/TableA/M19/H2/C2/F25/VE150/FdrID=SSY-2T6-0090596A,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_BOT-250627_99_20251028.csv
KO,2025-10-28 16:37:50,SEIL-IDS_9100_MAIN_BOT-250627,,Ea31,부품흡착 에러,/TableA/M12/H2/C1/F27/VE150/FdrID=SSY-2T6-0079956A,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_BOT-250627_197_20251028.csv
KO,2025-10-28 16:38:48,SEIL-IDS_9100_MAIN_BOT-250627,,Ea31,부품흡착 에러,/TableA/M16/H2/C1/F27/VE150/FdrID=SSY-2T6-0079956A,관리자,,,,ErrLog_SEIL-IDS_9100_MAIN_BOT-250627_198_20251028.csv
KO,2025-10-28 17:05:13,SEIL-IDS_9100_SUB_BOT-251028,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_BOT-251028_0_20251028.csv
KO,2025-10-28 17:19:08,SEIL-IDS_9100_SUB_BOT-251028,,Ea31,부품흡착 에러,/TableA/M1/H4/C1/F29/VE150/FdrID=SSY-2T6-0090598A,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_BOT-251028_0_20251028.csv
KO,2025-10-28 17:21:28,SEIL-IDS_9100_SUB_BOT-251028,,Ea79,기판반송 에러,/EX1:9/EX2:1,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_BOT-251028_2_20251028.csv
KO,2025-10-28 17:48:49,SEIL-IDS_9100_SUB_BOT-251028,,Ea31,부품흡착 에러,/TableA/M1/H4/C1/F29/VE150/FdrID=SSY-2T6-0090598A,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_BOT-251028_46_20251028.csv
KO,2025-10-28 17:50:21,SEIL-IDS_9100_SUB_BOT-251028,,Ea31,부품흡착 에러,/TableA/M1/H4/C1/F29/VE150/FdrID=SSY-2T6-0090598A,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_BOT-251028_49_20251028.csv
KO,2025-10-28 17:54:27,SEIL-IDS_9100_SUB_BOT-251028,,Ea31,부품흡착 에러,/TableA/M1/H4/C1/F29/VE150/FdrID=SSY-2T6-0090598A,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_BOT-251028_59_20251028.csv
KO,2025-10-28 18:01:39,SEIL-IDS_9100_SUB_BOT-251028,,Ea31,부품흡착 에러,/TableA/M1/H4/C1/F29/VE150/FdrID=SSY-2T6-0090598A,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_BOT-251028_76_20251028.csv
KO,2025-10-28 18:09:19,SEIL-IDS_9100_SUB_BOT-251028,,Ea31,부품흡착 에러,/TableA/M1/H4/C1/F29/VE150/FdrID=SSY-2T6-0090598A,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_BOT-251028_95_20251028.csv
KO,2025-10-28 18:30:38,SEIL-IDS_9100_SUB_TOP-251028,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_TOP-251028_0_20251028.csv
KO,2025-10-28 18:48:27,SEIL-IDS_9100_SUB_TOP-251028,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_TOP-251028_0_20251028.csv
KO,2025-10-29 10:31:03,SEIL-IDS_9100_SUB_TOP-251028,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_TOP-251028_7_20251029.csv
KO,2025-10-29 11:18:17,SEIL-IDS_9100_SUB_TOP-251028,,Ea31,부품흡착 에러,/TableA/M8/H5/C3/F25/VE150/FdrID=SSY-2T6-0090598A,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_TOP-251028_58_20251029.csv
KO,2025-10-29 11:25:03,SEIL-IDS_9100_SUB_TOP-251028,,Ea31,부품흡착 에러,/TableA/M8/H5/C3/F25/VE150/FdrID=SSY-2T6-0090598A,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_TOP-251028_68_20251029.csv
KO,2025-10-29 11:29:39,SEIL-IDS_9100_SUB_TOP-251028,,Ea31,부품흡착 에러,/TableA/M8/H5/C3/F25/VE150/FdrID=SSY-2T6-0090598A,관리자,,,,ErrLog_SEIL-IDS_9100_SUB_TOP-251028_74_20251029.csv
