KO,로트명,로트ID,기판데이터 갱신일시,생산시작 시각,셋업종료 시각,생산종료시각,예정수량(장),실적수량(장),실장CT/장 MAX A,실장CT/장 MAX B,실장CT/장 MAX C,실장CT/장 MAX D,실장CT/장 MIN A,실장CT/장 MIN B,실장CT/장 MIN C,실장CT/장 MIN D,실장CT/장 AVE A,실장CT/장 AVE B,실장CT/장 AVE C,실장CT/장 AVE D,반송CT/장 MAX,반송CT/장 MIN,반송CT/장 AVE,대기CT/장 MAX,대기CT/장 MIN,대기CT/장 AVE,마크인식CT/장 MAX A,마크인식CT/장 MAX B,마크인식CT/장 MAX C,마크인식CT/장 MAX D,마크인식CT/장 MIN A,마크인식CT/장 MIN B,마크인식CT/장 MIN C,마크인식CT/장 MIN D,마크인식CT/장 AVE A,마크인식CT/장 AVE B,마크인식CT/장 AVE C,마크인식CT/장 AVE D,흡착에러 횟수,부품 인식에러 횟수,리드들뜸 에러횟수,마크 인식에러 횟수,반송에러횟수,그 밖의 에러횟수,에러정지 시간(초),에러복구 시간(초),배드마크 NG수,탑재완료 블록수,상류측 대기시간(초),하류측 대기시간(초),설비 가동률(%),마운트점수,부품소비수,스테이지,상류대기CT MAX(초),상류대기CT Min(초),상류대기CT Ave(초),하류대기CT Max(초),하류대기CT Min(초),하류대기CT Ave(초),연속생산CT 장 Max,연속생산CT 장 Min,연속생산CT 장 Ave,생산CT 장 Max,생산CT 장 Min,생산CT 장 Ave,작업자 정지시간(초),레인,다른 레인 대기시간(초),반송정지 옵셋량/장 AVE,생산품종,면 정보,생산로트,---,다른 스테이지 대기시간(초),사이클 타임,source_file
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:39:48,0,158,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.32,2186.3,1.49,32.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,632,2641.72,2432.11,44.8,4,633,A,2186.3,0.0,16.71,20.44,4.12,15.39,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.425,LotLog_KMJ-EOS_T001-TOP_157_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:43:50,0,167,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.3,2186.3,1.49,31.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,668,2641.72,2593.54,46.1,4,669,A,2186.3,0.0,15.81,20.44,4.12,15.53,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.4,LotLog_KMJ-EOS_T001-TOP_166_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:43:50,0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,668,2641.72,2593.54,46.1,4,669,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,49.83,2197.63,9.54,51.6,0.0,MCH,0.0,0.0,,,,,0.0,9.4,LotLog_KMJ-EOS_T001-TOP_166_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:44:16,0,168,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.3,2186.3,1.49,31.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,672,2641.72,2611.02,46.2,4,673,A,2186.3,0.0,15.72,20.44,4.12,15.54,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.397,LotLog_KMJ-EOS_T001-TOP_167_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:44:17,0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,672,2641.72,2611.02,46.2,4,673,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,49.69,2197.63,9.54,51.45,0.0,MCH,0.0,0.0,,,,,0.0,9.397,LotLog_KMJ-EOS_T001-TOP_167_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:44:43,0,169,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.3,2186.3,1.49,31.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,676,2641.72,2628.22,46.3,4,677,A,2186.3,0.0,15.63,20.44,4.12,15.55,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.394,LotLog_KMJ-EOS_T001-TOP_168_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:44:43,0,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,676,2641.72,2628.22,46.3,4,677,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,49.55,2197.63,9.54,51.3,0.0,MCH,0.0,0.0,,,,,0.0,9.394,LotLog_KMJ-EOS_T001-TOP_168_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:45:08,0,170,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.3,2186.3,1.49,31.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,680,2641.72,2644.64,46.5,4,681,A,2186.3,0.0,15.53,20.44,4.12,15.55,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.392,LotLog_KMJ-EOS_T001-TOP_169_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:45:08,0,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,680,2641.72,2644.64,46.5,4,681,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,49.41,2197.63,9.54,51.15,0.0,MCH,0.0,0.0,,,,,0.0,9.392,LotLog_KMJ-EOS_T001-TOP_169_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 12:02:47,0,17,5.12,0.0,0.0,0.0,3.42,0.0,0.0,0.0,3.66,0.0,0.0,0.0,39.07,1.27,7.61,302.77,1.49,31.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,68,420.15,123.78,9.5,4,69,A,302.77,0.0,24.71,20.44,0.66,7.28,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,11.78,LotLog_KMJ-EOS_T001-TOP_16_20251020.csv
